Day,Start Time,End Time,Course title,Room,Instructor,Actual Class Duration
M,11:35 AM,12:50 PM,Algorithms: Design & Analysis,FF-C200,Faisal Alvi,75
M,2:35 PM,3:50 PM,Linear Algebra,FF-C200,Sajal Rana,75
M,8:30 AM,11:0 AM,Intro to Design and Media,FF-W244,Momin Zafar,150
M,8:30 AM,9:45 AM,What is Power?,FF-W244,Najeeb Jan,75
M,11:15 AM,12:55 PM,Heidegger,FF-W244,Najeeb Jan,100
M,1:10 PM,2:25 PM,Calculus II,FF-W244,Yousuf Kerai,75
M,2:40 PM,4:20 PM,Data Analytics,FF-W244,Sahaab Bader Sheikh,100
M,8:30 AM,9:20 AM,Algorithms: Design & Analysis,CPE HALL,TBD .,50
M,9:35 AM,10:50 AM,Introduction to Bioinformatics,CPE HALL,Arshan Nasir,75
M,11:30 AM,12:45 PM,Data Structures II,CPE HALL,Syeda Saleha Raza,75
M,8:30 AM,9:45 AM,What is Modernity?,LG09,Marcelo Alves de Paula Lima,75
M,10:0 AM,11:15 AM,What is Modernity?,LG09,Abdullah Mirza,75
M,11:30 AM,12:45 PM,Discrete Mathematics,LG09,Rameez Ragheb,75
M,1:0 PM,2:15 PM,Development & Environmentalism,LG09,Tajreen Jafri,75
M,2:30 PM,3:45 PM,Computer Vision,LG09,Muhammad Farhan,75
M,4:0 PM,5:15 PM,Intro Enviro Engineering,LG09,Hassaan Furqan Khan,75
M,8:30 AM,9:45 AM,Intro to Cultural Anthropology,FF-N219,Basharat Issa,75
M,10:0 AM,11:15 AM,Jehan-e-Urdu,FF-N219,Tanveer Anjum,75
M,11:30 AM,12:20 PM,Programming Fundamentals,FF-N219,Adeel Soomro,50
M,12:35 PM,1:50 PM,Data Structures II,FF-N219,Muhammad Qasim Pasta,75
M,2:5 PM,3:20 PM,GPU Accelerated Computing,FF-N219,Muhammad Mobeen Movania,75
M,3:35 PM,6:5 PM,Digital Aestetics,FF-N219,Mishal Khattak,150
M,8:30 AM,9:45 AM,Musicking: Anthropology of Mus,W-321,Daniyal Ahmed,75
M,10:0 AM,11:15 AM,Music and Mathematics,W-321,Yousuf Kerai,75
M,11:30 AM,12:45 PM,History of SA music,W-321,Daniyal Ahmed,75
M,1:5 PM,2:20 PM,Computational Intelligence,W-321,Syeda Saleha Raza,75
M,2:35 PM,5:25 PM,Data Structures & Algo Lab,W-321,Nadia Nasir,170
M,8:30 AM,9:45 AM,Calculus II,E-215,Muhammad Sami Siddiqui,75
M,10:0 AM,11:15 AM,Discrete Mathematics,E-215,Rameez Ragheb,75
M,11:30 AM,12:45 PM,Introduction to Biochemistry,E-215,Humaira Jamshed,75
M,1:0 PM,2:40 PM,Intro to Probability & Stats,E-215,Muhammad Umer Tariq,100
M,2:55 PM,4:10 PM,Introduction to Western Philos,E-215,Irfan Muhammad,75
M,8:30 AM,9:45 AM,Intro to Cultural Anthropology,E-011,Basharat Issa,75
M,8:30 AM,9:45 AM,Introduction to Nanotechnology,E-011,Ahmad Usman,75
M,8:30 AM,11:20 AM,Introduction to Robotics Lab,E-011,Abdul Basit Memon,170
M,10:0 AM,11:15 AM,Interactive Storytelling,E-011,Christie Lauder,75
M,11:30 AM,12:45 PM,What is Modernity?,E-011,Nimra Farooq,75
M,1:0 PM,2:15 PM,Jehan-e-Urdu,E-011,Inam Ullah,75
M,2:30 PM,5:0 PM,"Engineering, Design, & Innov.",E-011,Munzir Zafar,150
M,8:30 AM,11:20 AM,Intro to Design and Media LAB,FF-N220,Luluwa Murtaza,170
M,11:35 AM,12:50 PM,Social Theory I,FF-N220,Coline Ferrant,75
M,2:20 PM,3:35 PM,The World of Quratul Ain Hyder,FF-N220,Syed Afzal Ahmed,75
