Day,Start Time,End Time,Program,Course code,Course title,Class nbr,Section,Room,Instructor,Actual Class Duration
Wednesday,13:25,16:15,CND,CND 103L,Intro to Design and Media LAB,1327,T3,E-011,Luluwa Murtaza,170
Friday,10:00,13:45,CND,CND 104,Performing Narrative,1322,D1,E-100,Muneera Batool,225
Thursday,8:30,12:15,CND,CND 104,Performing Narrative,1323,D2,GF-E101,Nighat Sultana Chaudhry,225
Monday,11:30,15:15,CND,CND 104,Performing Narrative,1324,D3,E-100,Muneera Batool,225
Tuesday,8:30,10:10,CND,CND 106,Forms of Inquiry,1052,S1,CPE HALL,Mehwish Abid,100
Thursday,14:35,16:15,CND,CND 106,Forms of Inquiry,1053,S2,FF-W244,Mehwish Abid,100
Wednesday,8:30,10:10,CND,CND 106,Forms of Inquiry,1054,S3,E-011,Mehwish Abid,100
Tuesday,10:00,13:20,CND,CND 429,Design Research II,1055,L1,LG09,Mariam Aziz,200
Tuesday,8:30,11:50,CND,CND 429,Design Research II,1056,L2,W-121,Muneera Batool,200
Friday,10:00,13:20,CND,CND 429,Design Research II,1057,L3,GF-E101,Christie Lauder,200
Friday,10:00,13:20,CND,COM 203,Production Fundamentals II,1013,D1,LG26,Syed Ali,200
Friday,8:30,11:20,CND,COM 203L,Production Fundamentals II Lab,1014,T1,C-015,Mariam Aziz,170
Thursday,8:30,09:45,CND,COM 204,Elements of Aesthetics 1,1015,S1,E-215,Sheikh Taha Ahmed Munir,75
Monday,8:30,09:45,CND,COM 204,Elements of Aesthetics 1,1015,S1,E-010,Sheikh Taha Ahmed Munir,75
Wednesday,8:30,11:20,CND,COM 213,Cinematography in Pak Cinema,1016,D1,LG26,Syed Ali,170
Friday,8:30,09:45,CND,COM 231,Bollywood Masculinity,1017,S1,FF-E220,Sheikh Taha Ahmed Munir,75
Wednesday,8:30,09:45,CND,COM 231,Bollywood Masculinity,1017,S1,E-215,Sheikh Taha Ahmed Munir,75
Thursday,13:05,15:35,CND,COM 237,Creative Writing,1329,S1,FF-N220,Anum Asi,150
Wednesday,11:35,14:55,CND,COM 303,Post Production,1019,D1,LG26,Syed Ali,200
Thursday,11:30,14:20,CND,COM 303L,Post Production (Lab),1020,T1,FF-W244,Syed Ali,170
Wednesday,8:30,10:10,CND,COM 304,Contexualising Media,1021,S1,CPE HALL,Abdul Rafay Mahmood,100
Tuesday,14:30,15:45,CND,COM 323,After Digital: The Creative In,1022,S1,LG26,Abdul Rafay Mahmood,75
Friday,10:00,11:15,CND,COM 323,After Digital: The Creative In,1022,S1,W-110,Abdul Rafay Mahmood,75
Tuesday,8:30,10:10,CND,COM 341,Let's Get Talking,1023,J1,W-111,Haya Fatima Iqbal,100
Monday,8:30,10:10,CND,COM 341,Let's Get Talking,1023,J1,FF-W243,Haya Fatima Iqbal,100
Monday,10:00,11:15,CND,COM/DES 332/313,Interactive Storytelling,1058,S1,E-100,Christie Lauder,75
Thursday,11:30,12:45,CND,COM/DES 332/313,Interactive Storytelling,1058,S1,E-003,Christie Lauder,75
Thursday,13:05,14:20,CND,COM/LIT 221/235,"Journalism, History, Novel",1059,S1,E-100,Zuha Asif Siddiqui,75
Friday,13:05,14:20,CND,COM/LIT 221/235,"Journalism, History, Novel",1059,S1,GF-C109,Zuha Asif Siddiqui,75
Monday,11:55,14:25,CND,COM/LIT 333,Assembly of the Weird,1060,S1,LG26,Zain Saeed,150
Thursday,16:00,16:50,CH,CORE 102,What is Modernity?,1254,L1,GF-C109,Nauman Naqvi,50
Wednesday,13:00,14:15,CH,CORE 102,What is Modernity?,1255,S1,E-012,Nauman Naqvi,75
Friday,11:05,12:20,CH,CORE 102,What is Modernity?,1255,S1,FF-W243,Nauman Naqvi,75
Monday,10:00,11:15,CH,CORE 102,What is Modernity?,1264,S10,CPE HALL,Nimra Farooq,75
Thursday,14:35,15:50,CH,CORE 102,What is Modernity?,1264,S10,E-010,Nimra Farooq,75
Tuesday,8:30,09:45,CH,CORE 102,What is Modernity?,1265,S11,FF-C200,Mahso Gichki,75
Monday,8:30,09:45,CH,CORE 102,What is Modernity?,1265,S11,LG-C001,Mahso Gichki,75
Wednesday,11:30,12:45,CH,CORE 102,What is Modernity?,1266,S12,SFCL,Nahrain Al-Mousawi,75
Monday,11:30,12:45,CH,CORE 102,What is Modernity?,1266,S12,FF-N220,Nahrain Al-Mousawi,75
Monday,11:30,12:45,CH,CORE 102,What is Modernity?,1256,S2,W-114,Nimra Farooq,75
Tuesday,12:20,13:35,CH,CORE 102,What is Modernity?,1256,S2,CPE HALL,Nimra Farooq,75
Wednesday,10:25,11:40,CH,CORE 102,What is Modernity?,1257,S3,E-011,Marcelo Alves de Paula Lima,75
Tuesday,16:00,17:15,CH,CORE 102,What is Modernity?,1257,S3,W-234,Marcelo Alves de Paula Lima,75
Monday,13:00,14:15,CH,CORE 102,What is Modernity?,1258,S4,FF-E220,Haniya Habib,75
Tuesday,8:30,09:45,CH,CORE 102,What is Modernity?,1258,S4,GF-E121,Haniya Habib,75
Monday,8:30,09:45,CH,CORE 102,What is Modernity?,1259,S5,W-121,Muzammil Patel,75
Friday,8:30,09:45,CH,CORE 102,What is Modernity?,1259,S5,FF-W243,Muzammil Patel,75
Thursday,10:00,11:15,CH,CORE 102,What is Modernity?,1260,S6,E-010,Marcelo Alves de Paula Lima,75
Monday,10:00,11:15,CH,CORE 102,What is Modernity?,1260,S6,E-011,Marcelo Alves de Paula Lima,75
Friday,10:00,11:15,CH,CORE 102,What is Modernity?,1261,S7,CPE HALL,Abdullah Mirza,75
Tuesday,09:35,10:50,CH,CORE 102,What is Modernity?,1261,S7,GF-E101,Abdullah Mirza,75
Wednesday,8:30,09:45,CH,CORE 102,What is Modernity?,1262,S8,FF-E220,Aqdas Afzal,75
Tuesday,8:30,09:45,CH,CORE 102,What is Modernity?,1262,S8,E-012,Aqdas Afzal,75
Wednesday,8:30,09:45,CH,CORE 102,What is Modernity?,1263,S9,E-100,Muhammad Salman,75
Friday,13:00,14:15,CH,CORE 102,What is Modernity?,1263,S9,SFCL,Muhammad Salman,75
Tuesday,14:30,15:20,CH,CORE 121,Jehan-e-Urdu,1062,L1,E-011,Inam Ullah,50
Wednesday,10:25,11:40,CH,CORE 121,Jehan-e-Urdu,1063,S1,CPE HALL,Tanveer Anjum,75
Thursday,14:20,15:35,CH,CORE 121,Jehan-e-Urdu,1063,S1,FF-W243,Tanveer Anjum,75
Tuesday,10:00,11:15,CH,CORE 121,Jehan-e-Urdu,1064,S2,FF-E220,Inam Ullah,75
Monday,8:30,09:45,CH,CORE 121,Jehan-e-Urdu,1064,S2,W-321,Inam Ullah,75
Tuesday,8:30,09:45,CH,CORE 121,Jehan-e-Urdu,1065,S3,W-234,Syed Afzal Ahmed,75
Thursday,13:35,14:50,CH,CORE 121,Jehan-e-Urdu,1065,S3,E-011,Syed Afzal Ahmed,75
Wednesday,16:00,17:15,CH,CORE 121,Jehan-e-Urdu,1066,S4,E-012,Inam Ullah,75
Friday,14:30,15:45,CH,CORE 121,Jehan-e-Urdu,1066,S4,FF-E220,Inam Ullah,75
Thursday,10:00,11:15,CH,CORE 121,Jehan-e-Urdu,1067,S5,GF-C109,Tanveer Anjum,75
Tuesday,10:00,11:15,CH,CORE 121,Jehan-e-Urdu,1067,S5,SFCL,Tanveer Anjum,75
Friday,8:30,09:45,ISCIM,CORE 200,Scientific Methods,1068,L1,W-110,Huma abid,75
Tuesday,13:25,14:40,ISCIM,CORE 200,Scientific Methods,1068,L1,W-321,Huma abid,75
Wednesday,13:35,14:50,ISCIM,CORE 200,Scientific Methods,1069,L2,E-010,Huma abid,75
Monday,15:05,16:20,ISCIM,CORE 200,Scientific Methods,1069,L2,E-012,Huma abid,75
Friday,8:30,09:45,ISCIM,CORE 200,Scientific Methods,1070,L3,W-234,Sameena Shahzaman,75
Thursday,8:30,09:45,ISCIM,CORE 200,Scientific Methods,1070,L3,W-111,Sameena Shahzaman,75
Thursday,8:30,09:45,ISCIM,CORE 200,Scientific Methods,1071,L4,W-234,Hassaan Furqan Khan,75
Friday,11:30,12:45,ISCIM,CORE 200,Scientific Methods,1071,L4,W-234,Hassaan Furqan Khan,75
Thursday,11:15,12:30,ISCIM,CORE 200,Scientific Methods,1072,L5,LG09,Sameena Shahzaman,75
Tuesday,8:30,09:45,ISCIM,CORE 200,Scientific Methods,1072,L5,E-011,Sameena Shahzaman,75
Monday,8:30,09:45,ISCIM,CORE 200,Scientific Methods,1073,L6,GF-C109,Hassaan Furqan Khan,75
Tuesday,15:25,16:40,ISCIM,CORE 200,Scientific Methods,1073,L6,FF-W242,Hassaan Furqan Khan,75
Tuesday,12:05,12:55,CH,CORE 202,Hikma I,1267,L1,W-121,Nauman Naqvi,50
Friday,8:30,09:45,CH,CORE 202,Hikma I,1268,S1,LG-C025,Nauman Naqvi,75
Tuesday,15:35,16:50,CH,CORE 202,Hikma I,1268,S1,E-011,Nauman Naqvi,75
Monday,8:30,09:45,CH,CORE 202,Hikma I,1278,S11,E-003,Hamza Bin Sajjad,75
Tuesday,8:30,09:45,CH,CORE 202,Hikma I,1278,S11,LG-C025,Hamza Bin Sajjad,75
Thursday,14:30,15:45,CH,CORE 202,Hikma I,1279,S12,E-215,Basharat Issa,75
Friday,13:00,14:15,CH,CORE 202,Hikma I,1279,S12,FF-C200,Basharat Issa,75
Wednesday,14:35,15:50,CH,CORE 202,Hikma I,1270,S3,GF-E101,Nauman Naqvi,75
Monday,10:00,11:15,CH,CORE 202,Hikma I,1270,S3,W-114,Nauman Naqvi,75
Tuesday,10:00,11:15,CH,CORE 202,Hikma I,1271,S4,FF-C200,Noman Baig,75
Monday,10:00,11:15,CH,CORE 202,Hikma I,1271,S4,GF-C109,Noman Baig,75
Wednesday,10:00,11:15,CH,CORE 202,Hikma I,1272,S5,FF-E220,Abdullah Mirza,75
Thursday,11:35,12:50,CH,CORE 202,Hikma I,1272,S5,E-100,Abdullah Mirza,75
Tuesday,14:30,15:45,CH,CORE 202,Hikma I,1273,S6,FF-E220,Muzammil Patel,75
Monday,10:00,11:15,CH,CORE 202,Hikma I,1273,S6,W-110,Muzammil Patel,75
Wednesday,11:55,13:10,CH,CORE 202,Hikma I,1274,S7,E-011,Hamza Bin Sajjad,75
Thursday,13:25,14:40,CH,CORE 202,Hikma I,1274,S7,FF-C200,Hamza Bin Sajjad,75
Friday,16:00,17:15,CH,CORE 202,Hikma I,1275,S8,CPE HALL,Zainab Saleem,75
Monday,12:35,13:50,CH,CORE 202,Hikma I,1275,S8,W-110,Zainab Saleem,75
Friday,8:30,09:45,CH,CORE 202,Hikma I,1276,S9,W-114,Zainab Saleem,75
Monday,14:30,15:45,CH,CORE 202,Hikma I,1276,S9,GF-E101,Zainab Saleem,75
Monday,11:30,12:20,CS,CS 101,Programming Fundamentals,1075,L1,E-011,Adeel Soomro,50
Wednesday,15:05,15:55,CS,CS 101,Programming Fundamentals,1075,L1,FF-N219,Adeel Soomro,50
Friday,11:30,14:20,CS,CS 101L,Programming Fundamentals Lab,1076,T1,W-110,Adeel Soomro,170
Friday,11:30,12:45,CS,CS 201,Data Structures II,1077,L1,CPE HALL,Syeda Saleha Raza,75
Monday,10:25,11:40,CS,CS 201,Data Structures II,1077,L1,LG26,Syeda Saleha Raza,75
Thursday,10:00,11:15,CS,CS 201,Data Structures II,1078,L2,W-234,Muhammad Qasim Pasta,75
Friday,10:00,11:15,CS,CS 201,Data Structures II,1078,L2,E-215,Muhammad Qasim Pasta,75
Monday,10:00,11:15,CS,CS 201,Data Structures II,1080,L4,FF-W242,Fahad Javed,75
Friday,10:00,11:15,CS,CS 201,Data Structures II,1080,L4,SFCL,Fahad Javed,75
Monday,10:00,11:15,CS,CS 201,Data Structures II,1081,L5,LG-C025,Muhammad Qasim Pasta,75
Wednesday,14:30,15:45,CS,CS 201,Data Structures II,1081,L5,FF-C200,Muhammad Qasim Pasta,75
Friday,14:30,15:45,CS,CS 352,Introduction to Reinforcement,1312,L1,W-234,Mohammad Shaikh,75
Wednesday,14:30,15:45,CS,CS 352,Introduction to Reinforcement,1312,L1,E-012,Mohammad Shaikh,75
Wednesday,10:00,11:15,CS,CS 370,Web and Mobile Development,1118,L1,W-234,Muhammad Qasim Pasta,75
Friday,11:30,12:45,CS,CS 370,Web and Mobile Development,1118,L1,SFCL,Muhammad Qasim Pasta,75
Thursday,8:30,09:45,CS,CS 371,Software Security,1119,L1,C-015,Muhammad Nadeem,75
Friday,8:30,09:45,CS,CS 371,Software Security,1119,L1,W-111,Muhammad Nadeem,75
Friday,13:00,14:15,CS,CS 412,Algorithms: Design & Analysis,1120,L1,E-215,Waqar Saleem,75
Tuesday,14:15,15:30,CS,CS 412,Algorithms: Design & Analysis,1120,L1,C-015,Waqar Saleem,75
Friday,11:30,12:45,CS,CS 412,Algorithms: Design & Analysis,1122,L2,E-010,Faisal Alvi,75
Tuesday,11:30,12:45,CS,CS 412,Algorithms: Design & Analysis,1122,L2,LG-C025,Faisal Alvi,75
Wednesday,09:35,10:50,CS,CS 412,Algorithms: Design & Analysis,1124,L3,PG-1,Faisal Alvi,75
Tuesday,10:00,11:15,CS,CS 412,Algorithms: Design & Analysis,1124,L3,FF-N219,Faisal Alvi,75
Tuesday,11:15,12:30,CS,CS 412,Algorithms: Design & Analysis,1126,L4,W-114,Waqar Saleem,75
Monday,8:30,09:45,CS,CS 412,Algorithms: Design & Analysis,1126,L4,E-100,Waqar Saleem,75
Thursday,11:30,12:20,CS,CS 412,Algorithms: Design & Analysis,1121,R1,W-321,TBD .,50
Tuesday,16:00,16:50,CS,CS 412,Algorithms: Design & Analysis,1123,R2,FF-C200,TBD .,50
Wednesday,8:30,09:20,CS,CS 412,Algorithms: Design & Analysis,1125,R3,W-321,TBD .,50
Monday,8:30,09:20,CS,CS 412,Algorithms: Design & Analysis,1127,R4,C-015,TBD .,50
Thursday,12:45,14:00,CS,CS 432,GPU Accelerated Computing,1128,L1,LG09,Muhammad Mobeen Movania,75
Friday,13:00,14:15,CS,CS 432,GPU Accelerated Computing,1128,L1,W-234,Muhammad Mobeen Movania,75
Friday,10:00,11:15,CS,CS 451,Computational Intelligence,1129,L1,W-111,Syeda Saleha Raza,75
Wednesday,8:30,09:45,CS,CS 451,Computational Intelligence,1129,L1,W-111,Syeda Saleha Raza,75
Tuesday,11:30,12:45,CS,CS 457,Data Science,1130,L1,FF-E220,Zeehasham Rasheed,75
Monday,11:30,12:45,CS,CS 457,Data Science,1130,L1,CPE HALL,Zeehasham Rasheed,75
Friday,10:00,11:15,CS,CS 458,Natural Language Processing,1131,L1,LG09,Faisal Alvi,75
Monday,11:30,12:45,CS,CS 458,Natural Language Processing,1131,L1,LG09,Faisal Alvi,75
Thursday,15:40,16:55,CS,CS 491,Capstone (Kaavish) I,1348,C1,FF-E220,Waqar Saleem,75
Tuesday,8:30,09:45,CS,CS 492,Capstone (Kaavish) II,1132,C1,FF-W244,Syeda Saleha Raza,75
Friday,11:30,12:45,CS,CS 492,Capstone (Kaavish) II,1133,C2,E-012,Nadia Nasir,75
Monday,8:30,09:45,CS,CS 492,Capstone (Kaavish) II,1134,C3,E-215,Abdul Samad,75
Wednesday,15:05,16:20,CS,CS 492,Capstone (Kaavish) II,1135,C4,E-010,Waqar Saleem,75
Tuesday,11:30,12:45,CS,CS 492,Capstone (Kaavish) II,1136,C5,W-234,Muhammad Mobeen Movania,75
Friday,11:30,12:45,CS,CS/CE 102/171,Data Structures & Algorithms,1301,L1,W-111,Muhammad Mobeen Movania,75
Monday,11:30,12:45,CS,CS/CE 102/171,Data Structures & Algorithms,1301,L1,E-010,Muhammad Mobeen Movania,75
Friday,13:00,14:15,CS,CS/CE 102/171,Data Structures & Algorithms,1302,L2,E-012,Nadia Nasir,75
Tuesday,13:05,14:20,CS,CS/CE 102/171,Data Structures & Algorithms,1302,L2,E-012,Nadia Nasir,75
Tuesday,8:30,09:45,CS,CS/CE 102/171,Data Structures & Algorithms,1303,L3,W-321,Faiza Azhar,75
Monday,11:30,12:45,CS,CS/CE 102/171,Data Structures & Algorithms,1303,L3,GF-C109,Faiza Azhar,75
Thursday,14:10,15:25,CS,CS/CE 102/171,Data Structures & Algorithms,1304,L4,FF-E220,Mohammad Salman,75
Friday,14:30,15:45,CS,CS/CE 102/171,Data Structures & Algorithms,1304,L4,E-215,Mohammad Salman,75
Friday,8:30,09:45,CS,CS/CE 102/171,Data Structures & Algorithms,1305,L5,E-011,Maria Samad,75
Tuesday,12:45,14:00,CS,CS/CE 102/171,Data Structures & Algorithms,1305,L5,W-114,Maria Samad,75
Tuesday,14:15,15:30,CS,CS/CE 102/171,Data Structures & Algorithms,1306,L6,W-114,Maria Samad,75
Monday,10:00,11:15,CS,CS/CE 102/171,Data Structures & Algorithms,1306,L6,FF-N219,Maria Samad,75
Wednesday,13:35,14:50,CS,CS/CE 102/171,Data Structures & Algorithms,1307,L7,FF-N219,Saba Saeed,75
Friday,13:00,14:15,CS,CS/CE 102/171,Data Structures & Algorithms,1307,L7,E-011,Saba Saeed,75
Wednesday,10:00,12:50,CS,CS/CE 102L/171L,Data Structures & Algo Lab,1083,T1,GF-C109,Muhammad Mobeen Movania,170
Thursday,12:35,15:25,CS,CS/CE 102L/171L,Data Structures & Algo Lab,1084,T2,W-321,Nadia Nasir,170
Thursday,14:05,16:55,CS,CS/CE 102L/171L,Data Structures & Algo Lab,1085,T3,C-015,Faiza Azhar,170
Tuesday,13:00,15:50,CS,CS/CE 102L/171L,Data Structures & Algo Lab,1086,T4,LG-C025,Mohammad Salman,170
Thursday,14:55,17:45,CS,CS/CE 102L/171L,Data Structures & Algo Lab,1087,T5,W-110,Maria Samad,170
Tuesday,8:30,11:20,CS,CS/CE 102L/171L,Data Structures & Algo Lab,1088,T6,E-010,Maria Samad,170
Thursday,11:30,14:20,CS,CS/CE 102L/171L,Data Structures & Algo Lab,1089,T7,E-010,Saba Saeed,170
Thursday,10:00,11:15,CS,CS/CE 224/272,OOP & Design Methodologies,1090,L1,E-003,Nadia Nasir,75
Monday,10:00,11:15,CS,CS/CE 224/272,OOP & Design Methodologies,1090,L1,LG-C001,Nadia Nasir,75
Wednesday,8:30,11:20,CS,CS/CE 224L/272L,OOP & Design Methodologies Lab,1091,T1,E-003,Nadia Nasir,170
Tuesday,10:00,11:15,CS,CS/CE 353/374,Software Engineering,1298,L1,W-321,Mohsin Nagaria,75
Friday,10:00,11:15,CS,CS/CE 353/374,Software Engineering,1298,L1,W-321,Mohsin Nagaria,75
Friday,8:30,09:45,CS,CS/CE 353/374,Software Engineering,1299,L2,E-215,Abbas Akhtar,75
Thursday,11:55,13:10,CS,CS/CE 353/374,Software Engineering,1299,L2,FF-C200,Abbas Akhtar,75
Tuesday,10:00,11:15,CS,CS/CE 353/374,Software Engineering,1300,L3,LG26,Ahsan Jawed,75
Thursday,10:00,11:15,CS,CS/CE 353/374,Software Engineering,1300,L3,SFCL,Ahsan Jawed,75
Friday,11:35,12:50,CS,CS/DES 333/327,Intro to HCI,1082,L1,C-015,Neelma Bhatti,75
Thursday,14:55,16:10,CS,CS/DES 333/327,Intro to HCI,1082,L1,SFCL,Neelma Bhatti,75
Monday,13:35,14:50,CS,CS/MATH 113,Discrete Mathematics,1092,L1,E-012,Waqar Saleem,75
Thursday,10:00,11:15,CS,CS/MATH 113,Discrete Mathematics,1092,L1,LG-C001,Waqar Saleem,75
Tuesday,10:00,11:15,CS,CS/MATH 113,Discrete Mathematics,1094,L2,E-011,Muhammad Zafar,75
Monday,12:35,13:50,CS,CS/MATH 113,Discrete Mathematics,1094,L2,E-011,Muhammad Zafar,75
Tuesday,14:30,15:45,CS,CS/MATH 113,Discrete Mathematics,1096,L3,SFCL,Muhammad Zafar,75
Friday,11:30,12:45,CS,CS/MATH 113,Discrete Mathematics,1096,L3,W-321,Muhammad Zafar,75
Wednesday,8:30,09:45,CS,CS/MATH 113,Discrete Mathematics,1098,L4,W-121,Rameez Ragheb,75
Monday,8:30,09:45,CS,CS/MATH 113,Discrete Mathematics,1098,L4,W-114,Rameez Ragheb,75
Monday,13:00,14:15,CS,CS/MATH 113,Discrete Mathematics,1100,L5,GF-C109,Rameez Ragheb,75
Thursday,13:00,14:15,CS,CS/MATH 113,Discrete Mathematics,1100,L5,E-215,Rameez Ragheb,75
Tuesday,10:00,11:15,CS,CS/MATH 113,Discrete Mathematics,1104,L7,W-234,Huma abid,75
Thursday,15:40,16:55,CS,CS/MATH 113,Discrete Mathematics,1104,L7,W-321,Huma abid,75
Wednesday,13:05,14:20,ISCIM,CS/MATH 113,Discrete Mathematics,1340,L8,GF-E121,Rameez Ragheb,75
Friday,11:55,13:10,ISCIM,CS/MATH 113,Discrete Mathematics,1340,L8,PG-1,Rameez Ragheb,75
Thursday,16:05,16:55,CS,CS/MATH 113,Discrete Mathematics,1093,R1,W-234,Muhammad Munawwar Anwar,50
Monday,16:00,16:50,CS,CS/MATH 113,Discrete Mathematics,1095,R2,GF-E101,Shams Arfeen,50
Tuesday,16:00,16:50,CS,CS/MATH 113,Discrete Mathematics,1097,R3,FF-E220,Muhammad Munawwar Anwar,50
Tuesday,17:05,17:55,CS,CS/MATH 113,Discrete Mathematics,1099,R4,E-100,Shams Arfeen,50
Tuesday,13:35,14:25,CS,CS/MATH 113,Discrete Mathematics,1101,R5,LG09,Muhammad Munawwar Anwar,50
Monday,11:30,12:20,CS,CS/MATH 113,Discrete Mathematics,1105,R7,W-110,Shams Arfeen,50
Thursday,17:10,18:00,CS,CS/MATH 113,Discrete Mathematics,1341,R8,W-234,Shams Arfeen,50
Tuesday,11:55,15:15,CND,DES 203,Designing For & With People,1107,D1,W-111,Hasan Habib,200
Friday,11:30,14:50,CND,DES 203,Designing For & With People,1108,D2,LG09,Fatin Nawaz,200
Monday,13:00,15:50,CND,DES 203L,Designing For & w/h People Lab,1109,T1,E-010,Barira Yousuf,170
Wednesday,10:00,12:50,CND,DES 203L,Designing For & w/h People Lab,1110,T2,GF-E101,Barira Yousuf,170
Monday,15:05,16:45,CND,DES 204,Research in Design,1111,S1,SFCL,Mishal Khattak,100
Monday,11:30,13:10,CND,DES 204,Research in Design,1112,S2,C-015,Mishal Khattak,100
Wednesday,11:05,12:45,CND,DES 213,Illustration and Protest,1113,D1,PG-1,Isma Hasan,100
Friday,10:00,11:40,CND,DES 213,Illustration and Protest,1113,D1,PG-1,Isma Hasan,100
Thursday,14:15,15:55,CND,DES 217,Creating Comics,1114,J1,LG09,Rohama Malik,100
Friday,13:00,14:40,CND,DES 217,Creating Comics,1114,J1,W-111,Rohama Malik,100
Monday,13:00,16:20,CND,DES 303,Design Fictions and Provocatio,1115,D1,LG09,Isma Hasan,200
Monday,11:30,14:20,CND,DES 303L,Design Fictions & Provoca Lab,1116,T1,W-321,Luluwa Murtaza,170
Friday,14:15,16:45,CND,DES 318,Digital Aestetics,1354,S1,W-121,Mishal Khattak,150
Thursday,15:10,16:25,SDP,DEV 212,Urban Sustainability,1138,S1,W-114,Farhan Anwar,75
Friday,8:30,09:45,SDP,DEV 212,Urban Sustainability,1138,S1,FF-N220,Farhan Anwar,75
Wednesday,8:30,09:45,SDP,DEV 224,Development & Environmentalism,1297,L1,LG-C025,Tajreen Jafri,75
Tuesday,15:25,16:40,SDP,DEV 224,Development & Environmentalism,1297,L1,E-010,Tajreen Jafri,75
Wednesday,13:05,15:35,SDP,DEV 322,Intro to Program Planning,1139,L1,GF-C109,Shama Dossa,150
Friday,10:00,11:15,SDP,DEV 324,Education Planning,1333,S1,W-234,Muhammad Aatir Khan,75
Monday,13:00,14:15,SDP,DEV 324,Education Planning,1333,S1,FF-N220,Muhammad Aatir Khan,75
