Day,Start Time,End Time,Program,Course code,Course title,Class nbr,Section,Room,Instructor,Actual Class Duration
Tuesday,13:25,14:15,ECE,EE/PHY 241,Electromagnetic Theory,1190,L1,LG26,Shafayat Abrar,50
Monday,14:35,15:25,ECE,EE/PHY 241,Electromagnetic Theory,1190,L1,W-321,Shafayat Abrar,50
Friday,13:00,14:15,ISCIM,ENER 104,Renewable Energy,1191,L1,E-010,Mohamed Elsayed Orabi Mustafa,75
Monday,14:30,15:45,ISCIM,ENER 104,Renewable Energy,1191,L1,FF-E220,Mohamed Elsayed Orabi Mustafa,75
Friday,09:35,12:25,ECE,ENGR 291L,Engineering Workshop,1286,T1,LG-C001,Haseeb Shaikh,170
Wednesday,8:30,11:20,ECE,ENGR 291L,Engineering Workshop,1287,T2,W-110,Haseeb Shaikh,170
Tuesday,14:40,17:30,ECE,ENGR 291L,Engineering Workshop,1288,T3,LG09,Haseeb Shaikh,170
Tuesday,11:05,13:55,ECE,ENGR 291L,Engineering Workshop,1289,T4,GF-E101,Haseeb Shaikh,170
Wednesday,12:30,13:45,ISCIM,ENVS 301,Intro Enviro Engineering,1192,L1,LG09,Hassaan Furqan Khan,75
Friday,14:35,15:50,ISCIM,ENVS 301,Intro Enviro Engineering,1192,L1,W-114,Hassaan Furqan Khan,75
Thursday,10:00,11:00,GSCP,GSCP 399,GSCP Research S II,1172,S1,FF-W243,Mohammad Moeini Feizabadi,60
Wednesday,10:00,11:15,CH,HIST 123,Comparative Empires,1334,S1,E-100,Mariam Sabri,75
Tuesday,13:00,14:15,CH,HIST 123,Comparative Empires,1334,S1,E-011,Mariam Sabri,75
Tuesday,15:30,16:45,CH,HIST 227,Understanding Histories,1310,L1,W-111,Abdullah Mirza,50
Monday,11:30,12:45,CH,HIST 227,Understanding Histories,1310,L1,LG-C025,Abdullah Mirza,50
Wednesday,13:25,14:40,CH,HIST 227,Understanding Histories,1310,L1,FF-W244,Abdullah Mirza,50
Wednesday,14:55,16:10,CH,HIST/LIT 134,Intro to Punjabi Sufi Lit,1174,S1,FF-W242,Naila Pervaiz,75
Tuesday,14:30,15:45,CH,HIST/LIT 134,Intro to Punjabi Sufi Lit,1174,S1,W-234,Naila Pervaiz,75
Friday,11:05,12:45,CH,HUM 201,Conceptual Genealogies,1176,L1,GF-E121,Marcelo Alves de Paula Lima,100
Thursday,12:35,14:15,CH,HUM 201,Conceptual Genealogies,1176,L1,GF-E121,Marcelo Alves de Paula Lima,100
Tuesday,15:05,16:45,CH,HUM 401,Heidegger,1178,S1,FF-N219,Najeeb Jan,100
Thursday,14:35,16:15,CH,HUM 401,Heidegger,1178,S1,E-100,Najeeb Jan,100
Friday,13:00,14:40,CH,HUM/HIST 200,World Historical Figures,1309,L1,GF-E121,Marcelo Alves de Paula Lima,100
Wednesday,14:55,16:35,CH,HUM/HIST 200,World Historical Figures,1309,L1,CPE HALL,Marcelo Alves de Paula Lima,100
Thursday,13:00,14:40,CH,HUM/SDP 300/353,Public Intellectuals,1177,S1,SFCL,Muhammad Haris,100
Wednesday,14:05,15:45,CH,HUM/SDP 300/353,Public Intellectuals,1177,S1,SFCL,Muhammad Haris,100
Monday,10:00,11:15,CH,LIT 207,What is Gender?,1180,S1,FF-N220,Haniya Habib,75
Wednesday,10:00,11:15,CH,LIT 207,What is Gender?,1180,S1,C-015,Haniya Habib,75
